Rotary encoder SYNC DATA
Neuropixel setup
Samping rate: 50 sps
20-21-09_01-13-2023
timestamp_sys,timestamp
2023-01-13_20:21:09.237063,65
2023-01-13_20:21:09.347467,175
2023-01-13_20:21:09.457189,285
2023-01-13_20:21:09.567487,395
2023-01-13_20:21:09.677560,505
2023-01-13_20:21:09.787886,615
2023-01-13_20:21:09.897961,725
2023-01-13_20:21:10.008034,835
2023-01-13_20:21:10.117680,945
2023-01-13_20:21:10.228112,1055
2023-01-13_20:21:10.338301,1165
2023-01-13_20:21:10.448665,1276
2023-01-13_20:21:10.558147,1386
2023-01-13_20:21:10.668307,1496
2023-01-13_20:21:10.778245,1606
2023-01-13_20:21:10.888103,1716
2023-01-13_20:21:10.998330,1826
2023-01-13_20:21:11.108307,1936
2023-01-13_20:21:11.218965,2046
2023-01-13_20:21:11.329083,2156
2023-01-13_20:21:11.438970,2266
2023-01-13_20:21:11.548227,2376
2023-01-13_20:21:11.658900,2486
2023-01-13_20:21:11.769366,2596
2023-01-13_20:21:11.879210,2706
2023-01-13_20:21:11.989210,2817
2023-01-13_20:21:12.099333,2927
2023-01-13_20:21:12.209375,3037
2023-01-13_20:21:12.319060,3147
2023-01-13_20:21:12.429479,3257
2023-01-13_20:21:12.539197,3367
2023-01-13_20:21:12.649145,3477
2023-01-13_20:21:12.759158,3587
2023-01-13_20:21:12.870207,3697
2023-01-13_20:21:12.979467,3807
2023-01-13_20:21:13.090059,3917
2023-01-13_20:21:13.200664,4027
2023-01-13_20:21:13.310030,4137
2023-01-13_20:21:13.419705,4247
2023-01-13_20:21:13.529948,4357
2023-01-13_20:21:13.639987,4468
2023-01-13_20:21:13.750043,4578
2023-01-13_20:21:13.859983,4688
2023-01-13_20:21:13.969966,4798
2023-01-13_20:21:14.080017,4908
2023-01-13_20:21:14.190553,5018
2023-01-13_20:21:14.300380,5128
2023-01-13_20:21:14.411091,5238
2023-01-13_20:21:14.520742,5348
2023-01-13_20:21:14.630646,5458
2023-01-13_20:21:14.741093,5568
2023-01-13_20:21:14.851082,5678
2023-01-13_20:21:14.961342,5788
2023-01-13_20:21:15.071356,5898
2023-01-13_20:21:15.180919,6009
2023-01-13_20:21:15.291132,6119
2023-01-13_20:21:15.401358,6229
2023-01-13_20:21:15.511179,6339
2023-01-13_20:21:15.621152,6449
2023-01-13_20:21:15.731816,6559
2023-01-13_20:21:15.841509,6669
2023-01-13_20:21:15.951635,6779
2023-01-13_20:21:16.061417,6889
2023-01-13_20:21:16.171394,6999
2023-01-13_20:21:16.282009,7109
2023-01-13_20:21:16.392460,7219
2023-01-13_20:21:16.502403,7329
2023-01-13_20:21:16.612336,7439
2023-01-13_20:21:16.722181,7550
2023-01-13_20:21:16.832522,7660
2023-01-13_20:21:16.942415,7770
2023-01-13_20:21:17.052399,7880
2023-01-13_20:21:17.162847,7990
2023-01-13_20:21:17.273175,8100
2023-01-13_20:21:17.382632,8210
2023-01-13_20:21:17.493280,8320
2023-01-13_20:21:17.602980,8430
2023-01-13_20:21:17.712654,8540
2023-01-13_20:21:17.823059,8650
2023-01-13_20:21:17.933906,8760
2023-01-13_20:21:18.043410,8870
2023-01-13_20:21:18.153338,8980
2023-01-13_20:21:18.263032,9090
2023-01-13_20:21:18.374149,9201
2023-01-13_20:21:18.483518,9311
2023-01-13_20:21:18.594656,9421
2023-01-13_20:21:18.703700,9531
2023-01-13_20:21:18.814232,9641
2023-01-13_20:21:18.923142,9751
2023-01-13_20:21:19.034478,9861
2023-01-13_20:21:19.143400,9971
2023-01-13_20:21:19.254246,10081
2023-01-13_20:21:19.364182,10191
2023-01-13_20:21:19.474157,10301
2023-01-13_20:21:19.584279,10411
2023-01-13_20:21:19.694827,10521
2023-01-13_20:21:19.804248,10631
2023-01-13_20:21:19.915168,10742
2023-01-13_20:21:20.024664,10852
2023-01-13_20:21:20.135005,10962
2023-01-13_20:21:20.243965,11072
2023-01-13_20:21:20.355364,11182
2023-01-13_20:21:20.465221,11292
2023-01-13_20:21:20.575984,11402
2023-01-13_20:21:20.685035,11512
2023-01-13_20:21:20.795199,11622
2023-01-13_20:21:20.905096,11732
2023-01-13_20:21:21.015172,11842
2023-01-13_20:21:21.125042,11952
2023-01-13_20:21:21.236122,12062
2023-01-13_20:21:21.345181,12172
2023-01-13_20:21:21.455268,12283
2023-01-13_20:21:21.565223,12393
2023-01-13_20:21:21.676173,12503
2023-01-13_20:21:21.786068,12613
2023-01-13_20:21:21.895685,12723
2023-01-13_20:21:22.005641,12833
2023-01-13_20:21:22.115968,12943
2023-01-13_20:21:22.225510,13053
2023-01-13_20:21:22.335754,13163
2023-01-13_20:21:22.445495,13273
2023-01-13_20:21:22.556314,13383
2023-01-13_20:21:22.665724,13493
2023-01-13_20:21:22.776225,13603
2023-01-13_20:21:22.886357,13713
2023-01-13_20:21:22.996320,13823
2023-01-13_20:21:23.106085,13934
2023-01-13_20:21:23.217798,14044
2023-01-13_20:21:23.326067,14154
2023-01-13_20:21:23.436738,14264
2023-01-13_20:21:23.546809,14374
2023-01-13_20:21:23.657178,14484
2023-01-13_20:21:23.766921,14594
2023-01-13_20:21:23.877190,14704
2023-01-13_20:21:23.986869,14814
2023-01-13_20:21:24.097669,14924
