Rotary encoder POSITION DATA
Neuropixel setup
Samping rate: 50 sps
20-23-22_01-13-2023
timestamp_sys,timestamp,position,interrupt,position_at_interrupt
2023-01-13_20:23:22.548341, 0, 240613, 0, 209376
2023-01-13_20:23:22.567177, 20, 240613, 0, 209376
2023-01-13_20:23:22.587314, 40, 240613, 0, 209376
2023-01-13_20:23:22.607338, 60, 240613, 0, 209376
2023-01-13_20:23:22.627451, 80, 240613, 0, 209376
2023-01-13_20:23:22.644678, 100, 240613, 0, 209376
2023-01-13_20:23:22.666717, 120, 240613, 0, 209376
2023-01-13_20:23:22.686628, 140, 240613, 0, 209376
2023-01-13_20:23:22.707345, 160, 240613, 0, 209376
2023-01-13_20:23:22.727054, 180, 240613, 0, 209376
2023-01-13_20:23:22.747344, 200, 240613, 0, 209376
2023-01-13_20:23:22.767392, 220, 240613, 0, 209376
2023-01-13_20:23:22.787306, 240, 240613, 0, 209376
2023-01-13_20:23:22.807331, 260, 240613, 0, 209376
2023-01-13_20:23:22.827319, 280, 240613, 0, 209376
2023-01-13_20:23:22.847408, 300, 240613, 0, 209376
2023-01-13_20:23:22.865489, 320, 240613, 0, 209376
2023-01-13_20:23:22.887320, 340, 240613, 0, 209376
2023-01-13_20:23:22.907011, 360, 240613, 0, 209376
2023-01-13_20:23:22.927110, 380, 240613, 0, 209376
2023-01-13_20:23:22.946962, 400, 240613, 0, 209376
2023-01-13_20:23:22.967145, 420, 240613, 0, 209376
2023-01-13_20:23:22.987316, 440, 240613, 0, 209376
2023-01-13_20:23:23.007112, 460, 240613, 0, 209376
2023-01-13_20:23:23.027160, 480, 240613, 0, 209376
2023-01-13_20:23:23.047247, 500, 240613, 0, 209376
2023-01-13_20:23:23.067318, 520, 240613, 0, 209376
2023-01-13_20:23:23.085307, 540, 240613, 0, 209376
2023-01-13_20:23:23.107116, 560, 240613, 0, 209376
2023-01-13_20:23:23.127349, 580, 240613, 0, 209376
2023-01-13_20:23:23.147169, 600, 240613, 0, 209376
2023-01-13_20:23:23.167199, 620, 240613, 0, 209376
2023-01-13_20:23:23.187225, 640, 240613, 0, 209376
2023-01-13_20:23:23.207132, 660, 240613, 0, 209376
2023-01-13_20:23:23.227470, 680, 240613, 0, 209376
2023-01-13_20:23:23.247043, 700, 240613, 0, 209376
2023-01-13_20:23:23.267070, 720, 240613, 0, 209376
2023-01-13_20:23:23.287298, 740, 240613, 0, 209376
2023-01-13_20:23:23.304221, 760, 240613, 0, 209376
2023-01-13_20:23:23.327580, 780, 240613, 0, 209376
2023-01-13_20:23:23.347772, 800, 240613, 0, 209376
2023-01-13_20:23:23.367803, 820, 240613, 0, 209376
2023-01-13_20:23:23.387581, 840, 240613, 0, 209376
2023-01-13_20:23:23.406901, 860, 240613, 0, 209376
2023-01-13_20:23:23.427304, 880, 240613, 0, 209376
2023-01-13_20:23:23.447189, 900, 240613, 0, 209376
2023-01-13_20:23:23.467157, 920, 240613, 0, 209376
2023-01-13_20:23:23.487041, 940, 240613, 0, 209376
2023-01-13_20:23:23.506952, 960, 240613, 0, 209376
2023-01-13_20:23:23.524983, 980, 240613, 0, 209376
2023-01-13_20:23:23.547173, 1000, 240613, 0, 209376
2023-01-13_20:23:23.567155, 1020, 240613, 0, 209376
2023-01-13_20:23:23.587165, 1040, 240613, 0, 209376
2023-01-13_20:23:23.606981, 1060, 240613, 0, 209376
2023-01-13_20:23:23.627317, 1080, 240613, 0, 209376
2023-01-13_20:23:23.647187, 1100, 240613, 0, 209376
